ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 ImageSequence.py:19(<module>)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1824(_loadtk)
       47    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       40    0.000    0.000    0.000    0.000 _util.py:7(isPath)
        7    0.000    0.000    0.000    0.000 TiffImagePlugin.py:573(_register_basic)
      120    0.000    0.000    0.000    0.000 startGame.py:122(<genexpr>)
        1    0.000    0.000    0.000    0.000 ImageMode.py:17(<module>)
    47/27    0.000    0.000    0.000    0.000 {issubclass}
      104    0.000    0.000    0.000    0.000 sre_parse.py:221(isident)
       17    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
        1    0.000    0.000    0.000    0.000 __init__.py:265(_reset_cache)
        1    0.000    0.000    0.000    0.000 decimal.py:3764(Context)
       25    0.000    0.000    0.000    0.000 {_struct.calcsize}
        1    0.000    0.000    0.000    0.000 fractions.py:44(Fraction)
       20    0.000    0.000    0.000    0.000 ImageFile.py:66(_tilesort)
      111    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        7    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        4    0.000    0.000    0.000    0.000 genericpath.py:34(isfile)
        2    0.000    0.000    0.000    0.000 threading.py:260(__init__)
        5    0.000    0.000    0.000    0.000 Tkinter.py:2006(grid_configure)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:1017(getLogger)
       17    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
       20    0.000    0.000    0.000    0.000 PngImagePlugin.py:292(check_text_memory)
       22    0.000    0.000    0.000    0.000 sre_compile.py:546(isstring)
       20    0.000    0.000    0.000    0.000 ImageTk.py:155(height)
        1    0.000    0.000    0.000    0.000 threading.py:631(Thread)
       11    0.000    0.000    0.000    0.000 sre_parse.py:189(__init__)
        5    0.000    0.000    0.000    0.000 Tkinter.py:2220(__init__)
       39    0.000    0.000    0.000    0.000 {_sre.getlower}
        1    0.000    0.000    0.000    0.000 JpegPresets.py:67(<module>)
       20    0.000    0.000    0.000    0.000 BmpImagePlugin.py:49(_accept)
       80    0.000    0.000    0.000    0.000 startGame.py:131(<genexpr>)
       25    0.000    0.000    0.000    0.000 sre_parse.py:85(closegroup)
      177    0.000    0.000    0.000    0.000 {ord}
        8    0.000    0.000    0.000    0.000 Tkinter.py:1409(_grid_configure)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2919(Text)
        5    0.000    0.000    0.000    0.000 TiffImagePlugin.py:559(decorator)
        6    0.000    0.000    0.000    0.000 Image.py:2625(register_open)
       20    0.000    0.000    0.000    0.000 Image.py:2427(_decompression_bomb_check)
        2    0.000    0.000    0.000    0.000 {method 'encode' of 'unicode' objects}
       21    0.000    0.000    0.000    0.000 _weakrefset.py:70(__contains__)
       80    0.000    0.000    0.000    0.000 startGame.py:128(<genexpr>)
        1    0.000    0.000    0.000    0.000 {_locale.setlocale}
        2    0.000    0.000    0.000    0.000 __init__.py:1063(_fixupParents)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2218(Canvas)
       27    0.000    0.000    0.000    0.000 decimal.py:3810(<genexpr>)
        2    0.000    0.000    0.000    0.000 codecs.py:92(__new__)
       29    0.000    0.000    0.000    0.000 {setattr}
       12    0.000    0.000    0.000    0.000 Image.py:2674(register_extension)
       10    0.000    0.000    0.000    0.000 {repr}
       35    0.000    0.000    0.000    0.000 sre_parse.py:145(__setitem__)
       37    0.000    0.000    0.000    0.000 abc.py:15(abstractmethod)
        1    0.000    0.000    0.000    0.000 numbers.py:34(Complex)
        5    0.000    0.000    0.000    0.000 {built-in method deletecommand}
        4    0.000    0.000    0.000    0.000 __init__.py:375(__getattr__)
